           Id         Description                  Location                     Room          Affl          Panel Id         Dest Rack Id   SystemType   
Cable:     TB79       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB80       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB81       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB82       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB83       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB84       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB85       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB86       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB87       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB88       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB89       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB90       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB91       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB92       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB93       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB94       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB95       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB96       D: SPARE                     L:                           R:            A:            FROM:            TO:            SYS: NONE       C:           
Cable:     TB097      D: TECH PANEL                L: REHEARSAL                 R: 203        A: 300        FROM: RH611      TO: EN601      SYS: TALKBACK   C: <cable typ
Cable:     TB098      D: TECH PANEL                L: REHEARSAL                 R: 203        A: 300        FROM: RH612      TO: EN601      SYS: TALKBACK   C: <cable typ
Cable:     TB099      D: TECH PANEL/FLOOR BOX      L: REHEARSAL                 R: 203        A: 0          FROM: RH613      TO: EN601      SYS: TALKBACK   C: <cable typ
