CableId, Panel Id, Description, Location, Room, Affl, Dest Rack Id, CableId, Qty, SystemType
TD018, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, TD018, 5, TECHNICAL_DATA
TD019, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, TD019, 5, TECHNICAL_DATA
TD020, ER211, EQUIP RACK, CLOAK ROOM, G07, 0, ER401, TD020, 5, TECHNICAL_DATA
TD021, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD021, 10, TECHNICAL_DATA
TD022, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD022, 10, TECHNICAL_DATA
TD023, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD023, 10, TECHNICAL_DATA
TD024, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD024, 10, TECHNICAL_DATA
TD025, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD025, 10, TECHNICAL_DATA
TD026, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD026, 10, TECHNICAL_DATA
TD027, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD027, 10, TECHNICAL_DATA
TD028, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD028, 10, TECHNICAL_DATA
TD029, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD029, 10, TECHNICAL_DATA
TD030, ER491, EQPT RACK, CONTROL ROOM, , 0, ER401, TD030, 10, TECHNICAL_DATA
TD031, FB201, FLOORBOXES, STAGE, G15, 0, ER401, TD031, 2, TECHNICAL_DATA
TD032, FB201, FLOORBOXES, STAGE, G15, 0, ER401, TD032, 2, TECHNICAL_DATA
TD033, FB202, FLOORBOXES, STAGE, G15, 0, ER401, TD033, 2, TECHNICAL_DATA
TD034, FB202, FLOORBOXES, STAGE, G15, 0, ER401, TD034, 2, TECHNICAL_DATA
TD035, FB203, FLOORBOXES, STAGE, G15, 0, ER401, TD035, 2, TECHNICAL_DATA
TD036, FB203, FLOORBOXES, STAGE, G15, 0, ER401, TD036, 2, TECHNICAL_DATA
TD037, FB204, FLOORBOXES, STAGE, G15, 0, ER401, TD037, 2, TECHNICAL_DATA
TD038, FB204, FLOORBOXES, STAGE, G15, 0, ER401, TD038, 2, TECHNICAL_DATA
TD039, FB205, FLOORBOXES, STAGE, G15, 0, ER401, TD039, 2, TECHNICAL_DATA
TD040, FB205, FLOORBOXES, STAGE, G15, 0, ER401, TD040, 2, TECHNICAL_DATA
TD041, FB206, FLOORBOXES, STAGE, G15, 0, ER401, TD041, 2, TECHNICAL_DATA
TD042, FB206, FLOORBOXES, STAGE, G15, 0, ER401, TD042, 2, TECHNICAL_DATA
TD043, FB207, FLOORBOXES, STAGE, G15, 0, ER401, TD043, 2, TECHNICAL_DATA
TD044, FB207, FLOORBOXES, STAGE, G15, 0, ER401, TD044, 2, TECHNICAL_DATA
TD045, FB208, FLOORBOXES, STAGE, G15, 0, ER401, TD045, 2, TECHNICAL_DATA
TD046, FB208, FLOORBOXES, STAGE, G15, 0, ER401, TD046, 2, TECHNICAL_DATA
TD047, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD047, 2, TECHNICAL_DATA
TD048, FB251, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD048, 2, TECHNICAL_DATA
TD049, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD049, 2, TECHNICAL_DATA
TD050, FB252, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD050, 2, TECHNICAL_DATA
TD051, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD051, 2, TECHNICAL_DATA
TD052, FB253, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD052, 2, TECHNICAL_DATA
TD053, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD053, 2, TECHNICAL_DATA
TD054, FB254, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD054, 2, TECHNICAL_DATA
TD055, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD055, 2, TECHNICAL_DATA
TD056, FB255, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD056, 2, TECHNICAL_DATA
TD057, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD057, 2, TECHNICAL_DATA
TD058, FB256, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD058, 2, TECHNICAL_DATA
TD059, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD059, 2, TECHNICAL_DATA
TD060, FB257, FLOORBOXES, AUDITORIUM, G16, 0, ER401, TD060, 2, TECHNICAL_DATA
